name,owner,url,stars,age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_percentage
material-design-lite,google,https://github.com/google/material-design-lite,32266,3871,655,14,1,HTML,2195,1813,82.6
CyberChef,gchq,https://github.com/gchq/CyberChef,32238,3188,510,447,0,JavaScript,1058,626,59.17
serenity,SerenityOS,https://github.com/SerenityOS/serenity,32221,2454,19525,0,0,C++,4248,3522,82.91
spaCy,explosion,https://github.com/explosion/spaCy,32216,4067,3590,129,0,Python,5717,5550,97.08
beego,beego,https://github.com/beego/beego,32211,4922,1325,42,0,Go,3374,3366,99.76
Real-ESRGAN,xinntao,https://github.com/xinntao/Real-ESRGAN,32201,1494,21,10,0,Python,726,171,23.55
it-tools,CorentinTh,https://github.com/CorentinTh/it-tools,32198,1964,491,10,0,Vue,617,199,32.25
duckdb,duckdb,https://github.com/duckdb/duckdb,32182,2613,8206,51,0,C++,6118,5661,92.53
my-tv,lizongying,https://github.com/lizongying/my-tv,32147,626,11,72,0,C,919,774,84.22
directus,directus,https://github.com/directus/directus,32139,4635,8086,342,0,TypeScript,9359,9055,96.75
chatbot-ui,mckaywrigley,https://github.com/mckaywrigley/chatbot-ui,32130,894,280,0,0,TypeScript,993,817,82.28
tiptap,ueberdosis,https://github.com/ueberdosis/tiptap,32128,2557,1250,897,0,TypeScript,3238,2535,78.29
run,The-Run-Philosophy-Organization,https://github.com/The-Run-Philosophy-Organization/run,32099,1229,171,0,0,Unknown,256,214,83.59
agno,agno-agi,https://github.com/agno-agi/agno,32095,1205,1745,86,0,Python,1266,1142,90.21
tabby,TabbyML,https://github.com/TabbyML/tabby,31989,889,2969,241,0,Rust,937,733,78.23
etcher,balena-io,https://github.com/balena-io/etcher,31956,3586,1731,289,0,TypeScript,2381,1823,76.56
nacos,alibaba,https://github.com/alibaba/nacos,31955,2624,3156,84,0,Java,9152,8903,97.28
chatgpt-web,Chanzhaoyu,https://github.com/Chanzhaoyu/chatgpt-web,31939,924,159,43,0,Vue,1747,1747,100.0
pathway,pathwaycom,https://github.com/pathwaycom/pathway,31894,998,5,75,0,Python,97,53,54.64
cherry-studio,CherryHQ,https://github.com/CherryHQ/cherry-studio,31894,454,1929,191,0,TypeScript,6307,5784,91.71
yew,yewstack,https://github.com/yewstack/yew,31881,2805,1802,35,0,Rust,1256,1143,91.0
swr,vercel,https://github.com/vercel/swr,31842,2124,795,123,0,TypeScript,958,817,85.28
awesome-php,ziadoz,https://github.com/ziadoz/awesome-php,31828,4286,453,0,0,Unknown,153,152,99.35
GPT_API_free,chatanywhere,https://github.com/chatanywhere/GPT_API_free,31819,851,1,0,0,Python,377,353,93.63
v2ray-core,v2fly,https://github.com/v2fly/v2ray-core,31788,2320,909,111,0,Go,1040,1002,96.35
android-open-project,Trinea,https://github.com/Trinea/android-open-project,31786,4246,204,0,0,Unknown,86,75,87.21
WxJava,binarywang,https://github.com/binarywang/WxJava,31781,3515,1053,30,0,Java,2371,2307,97.3
shardeum,shardeum,https://github.com/shardeum/shardeum,31767,491,325,0,0,TypeScript,38,33,86.84
mpv,mpv-player,https://github.com/mpv-player/mpv,31749,4695,3500,87,0,C,10545,9642,91.44
vnpy,vnpy,https://github.com/vnpy/vnpy,31736,3825,1055,64,0,Python,2128,2110,99.15
fairseq,facebookresearch,https://github.com/facebookresearch/fairseq,31735,2914,234,16,0,Python,4247,3056,71.96
graphql-engine,hasura,https://github.com/hasura/graphql-engine,31662,2621,2110,294,0,TypeScript,6380,4145,64.97
go-zero,zeromicro,https://github.com/zeromicro/go-zero,31656,1840,2321,140,0,Go,1864,1642,88.09
pytorch-tutorial,yunjey,https://github.com/yunjey/pytorch-tutorial,31636,3086,28,0,0,Python,180,114,63.33
mmdetection,open-mmlab,https://github.com/open-mmlab/mmdetection,31594,2556,2359,53,0,Python,8497,6745,79.38
Hello-Python,mouredev,https://github.com/mouredev/Hello-Python,31592,1114,0,0,0,Python,293,275,93.86
Retrieval-based-Voice-Conversion-WebUI,RVC-Project,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,31587,878,475,7,0,Python,1919,1299,67.69
floating-ui,floating-ui,https://github.com/floating-ui/floating-ui,31558,3432,1190,497,0,TypeScript,1456,1429,98.15
YesPlayMusic,qier222,https://github.com/qier222/YesPlayMusic,31533,1777,288,31,0,Vue,1799,1191,66.2
remix,remix-run,https://github.com/remix-run/remix,31531,1759,3441,175,0,TypeScript,2606,2602,99.85
Folo,RSSNext,https://github.com/RSSNext/Folo,31510,500,1254,70,0,TypeScript,2242,2045,91.21
html2canvas,niklasvh,https://github.com/niklasvh/html2canvas,31479,5150,186,45,0,TypeScript,2620,1660,63.36
awesome-cto,kuchin,https://github.com/kuchin/awesome-cto,31473,3170,18,0,0,Unknown,11,11,100.0
vimrc,amix,https://github.com/amix/vimrc,31443,4832,107,0,0,Vim Script,522,510,97.7
echo,labstack,https://github.com/labstack/echo,31427,3826,592,109,0,Go,1465,1392,95.02
rxjs,ReactiveX,https://github.com/ReactiveX/rxjs,31421,3812,2588,2,0,TypeScript,3160,2940,93.04
lottie-web,airbnb,https://github.com/airbnb/lottie-web,31363,3834,136,0,0,JavaScript,2894,2125,73.43
MS-DOS,microsoft,https://github.com/microsoft/MS-DOS,31349,2614,37,0,0,Assembly,0,0,0
CasaOS,IceWhaleTech,https://github.com/IceWhaleTech/CasaOS,31342,1425,274,97,0,Go,1556,880,56.56
servo,servo,https://github.com/servo/servo,31321,4943,20501,0,0,HTML,14005,10994,78.5
netron,lutzroeder,https://github.com/lutzroeder/netron,31229,5352,1,2,0,JavaScript,1222,1201,98.28
cockroach,cockroachdb,https://github.com/cockroachdb/cockroach,31198,4214,67671,0,0,Go,75690,69271,91.52
xyflow,xyflow,https://github.com/xyflow/xyflow,31194,2229,1402,350,0,TypeScript,2269,2187,96.39
backstage,backstage,https://github.com/backstage/backstage,31167,2035,18961,443,0,TypeScript,7058,6692,94.81
cursor,cursor,https://github.com/cursor/cursor,31115,893,46,0,0,Unknown,3240,1213,37.44
paper-reading,mli,https://github.com/mli/paper-reading,31107,1399,15,0,0,Unknown,0,0,0
mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,31059,2261,201,63,0,C++,5472,5029,91.9
OpenCut,OpenCut-app,https://github.com/OpenCut-app/OpenCut,31055,60,179,0,0,TypeScript,182,70,38.46
slate,ianstormtaylor,https://github.com/ianstormtaylor/slate,31048,3351,1938,203,0,TypeScript,3196,2528,79.1
Blog,mqyqingfeng,https://github.com/mqyqingfeng/Blog,31045,3083,3,0,1,Unknown,361,100,27.7
dokku,dokku,https://github.com/dokku/dokku,31035,4457,4157,300,0,Shell,2798,2753,98.39
sharp,lovell,https://github.com/lovell/sharp,31011,4384,302,99,0,JavaScript,3981,3865,97.09
linux-insides,0xAX,https://github.com/0xAX/linux-insides,30981,3883,579,0,0,Python,189,153,80.95
dotfiles,mathiasbynens,https://github.com/mathiasbynens/dotfiles,30953,5099,44,0,0,Shell,392,254,64.8
lede,coolsnowwolf,https://github.com/coolsnowwolf/lede,30920,2906,2020,6,0,C,9148,8384,91.65
MonitorControl,MonitorControl,https://github.com/MonitorControl/MonitorControl,30912,2895,216,26,0,Swift,983,968,98.47
jQuery-File-Upload,blueimp,https://github.com/blueimp/jQuery-File-Upload,30891,5377,119,0,0,PHP,3307,3258,98.52
OCRmyPDF,ocrmypdf,https://github.com/ocrmypdf/OCRmyPDF,30890,4262,153,41,0,Python,1269,1137,89.6
filebrowser,filebrowser,https://github.com/filebrowser/filebrowser,30882,3631,607,97,0,Go,2748,2726,99.2
croc,schollz,https://github.com/schollz/croc,30878,2865,236,175,0,Go,540,530,98.15
1Panel,1Panel-dev,https://github.com/1Panel-dev/1Panel,30846,1129,3812,96,0,Go,5390,4766,88.42
minikube,kubernetes,https://github.com/kubernetes/minikube,30839,3414,8787,151,0,Go,10116,9608,94.98
claude-code,anthropics,https://github.com/anthropics/claude-code,30836,180,59,0,0,TypeScript,6104,3381,55.39
ink,vadimdemedes,https://github.com/vadimdemedes/ink,30826,2992,234,63,0,TypeScript,375,302,80.53
k9s,derailed,https://github.com/derailed/k9s,30793,2400,838,248,0,Go,2138,1728,80.82
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,30781,1285,2562,122,0,Python,2104,2104,100.0
khoj,khoj-ai,https://github.com/khoj-ai/khoj,30766,1466,475,158,0,Python,552,476,86.23
Xray-core,XTLS,https://github.com/XTLS/Xray-core,30759,1746,1015,90,0,Go,2554,2543,99.57
